0	1	10	11	12	13	14	2	3	4	5	6	7	8	9
Gm7361	5330413P13Rik	Abhd12b	Gpn2	Calm2	Pclaf	Col4a4	Pcm1	Eif2b2	Cldn2	1700013F07Rik	Scgb3a1	Apoc1	Sugt1	Angptl2
Cybrd1	4930444P10Rik	Spc25	Abcc5	Uhrf1	Gm8113	Cldn2	Hmga2	Itih4	Plet1	Styxl1	Bpifa1	Pmaip1	Aldh1a1	Odad4
Smpdl3a	Parm1	Gstt1	Med24	Lrrc2	Plk4	Plxna4	Cfap20	Myct1	Gm44000	ENSMUSG00000120266	Fut9	Mt2	Ppp1r35	Stox1
Iigp1	Hpgds	4931406C07Rik	Txndc16	Cisd3	Mylk	Lif	Mrpl24	Timp3	Ccdc80	Dnah10	Cenpm	Ppdpf	Trib2	Nupr1
Klf6	Cfap65	Gm15728	Dync2h1	Hspa4l	Arhgdib	Ift22	Calb2	Filip1	Zmynd10	Meig1	Prc1	Acyp1	Serpinb10	Tmem216
Med9os	Glipr1	Fxyd4	Dhfr	Cfap77	Rilpl2	Cryaa	Nupr1	Car6	Stc1	BC051019	Racgap1	Dcn	Lox	Tmem212
Dkkl1	Epp13	Aldh3a1	Syt17	Tbc1d31	Ccdc57	Hspb11	St6galnac5	Oaz2	Eif2b2	Rsph10b	Tmprss11d	Uhrf1	Odf2l	Cenpw
Akr1c18	Cald1	Gas6	Ropn1l	Vim	Ly6k	Odf2	Mndal	Aldh3a1	Cenpj	Slc23a1	Pir	Smc2	Prc1	Ndnf
Hoxaas2	Ccdc146	Trim17	Col27a1	Cldn18	Treml1	Pim2	Slc39a14	H2-Ab1	Hes2	Odad2	Kcne3	Rsad2	Apol9b	Syt17
Arhgdib	Syne1	Clic5	Nectin3	Neurl3	Arhgap18	Alox15	Clic5	Gm15728	4930519L02Rik	Pacrg	Ifitm1	E2f8	Cfap20	ENSMUSG00000120602
Rnaseh2c	Calml4	Cep295	Emp3	Cfap53	Enpep	1700037C18Rik	Alox15	Ndufaf3	Cxcl5	Mcidas	Tpx2	Tm6sf2	Uhrf1	Glrx
D730003K21Rik	Ppfia3	Ccdc80	Fstl1	Hbegf	Cd36	Ppp1r14d	Otop1	Cdiptos	Ccdc74a	Ccdc18	Fkbp7	Ccdc61	ENSMUSG00000120458	Thbs1
Kcne2	Crocc2	Spata33	BC005624	Itga9	Ift88	Esco2	Plpp3	Errfi1	Ppp1r32	Gck	Tmem45b	Akr7a5	Mcm3	Akr1b8
Muc13	Gsn	1810008I18Rik	Fhit	Mndal	Stil	Ppp1r35	Hopx	4930523C07Rik	1700016K19Rik	Vwa3b	Ppp1r35	Ifit3	Ascl3	Rasl11a
Kcnj16	Nupr1	Sprr2a2	Mdm2	Krt80	Poc5	Lrrc17	Fhit	Fxyd4	Ltf	Ppfia3	Nwd1	Gpn2	9530034E10Rik	Abr
Cdiptos	Traf3ip1	Gipc2	Cep76	Clspn	Agrp	E2f7	Fmo3	Hbegf	Rad51ap1	Sned1	Nek1	Ecm1	Mapk8ip1	Syt5
Ccp110	Tppp3	Sugt1	Limch1	Adssl1	Col4a1	Frmd5	Tmem213	Col18a1	Ghrl	Fam161a	Tnfaip2	Gm13074	Cops5	Ubxn11
1700016K19Rik	Serf1	Phldb2	Hsph1	Nr4a2	Nln	Krt15	Adh1	Tmem212	Tmem45b	Ccna1	Cep152	Mgp	Mab21l4	Nectin3
Lbh	4930547M16Rik	Tpx2	Lox	Nudt4	Timp1	Mcidas	Kcnmb2	Crym	Serpinb6b	3300002A11Rik	Ndufaf3	Ccl5	Tmem89	Kcnmb2
Ascl3	H2bc4	Inhbb	Gm973	Prdx5	Prorp	Psmb6	Gpn2	Abr	Ecm1	Bok	Clspn	Lyar	Ccdc74a	Fstl1
Iah1	2010001K21Rik	Dynlt2b	Casp7	Klf6	Abr	Dync2i2	Gna14	Rasgef1a	Fbln5	Cfap69	Knl1	Ptpmt1	Cklf	Map9
Casp7	Cfap46	Gng13	Iqce	Ltf	Cep128	Wdr31	4930519L02Rik	Csf2	Muc5ac	Morn3	Arfgef3	Nkapd1	Hells	Ereg
Treml1	Calm3	Tmem212	Lhfpl4	Las1l	Ldhb	Cfap206	Cby1	Cd302	Ccdc78	Gm28729	Nr4a2	Anln	Ly6k	Bbs4
Clu	Cfap206	Tcea3	Ddx60	Cd302	H2-Ab1	Wfdc13	Sult1d1	Serpine2	Ndrg1	Sass6	Sulf1	Slf1	Eif2b2	Gkn3
Cbarp	Rsph10b	Wdr19	Hmga2	Col15a1	Clu	Calb2	Tns1	Ly6c2	Csf2	Ccdc30	Pcsk5	Cep63	H2-DMb1	Ces1f
Soat1	Fam229b	Plac8	Alas1	Lrwd1	Arhgdig	Dpysl3	Pkig	Fam216a	Ccdc121	Rbks	Nudc	Mis18bp1	Swi5	Rsad2
Osbpl3	Adgb	Mcee	Col17a1	Gm15050	Lig1	Mt2	Sdcbp2	Retreg1	4930404N11Rik	Cdkn3	Stc1	Ccdc74a	D730003K21Rik	Rap2c
