0	1	10	11	12	13	14	2	3	4	5	6	7	8	9
Crnn	Agr3	4930523C07Rik	Gdf10	Cxcl2	S100g	Sema5a	Retnlg	Tns1	Krt18	BC005624	Uhrf1	Clca1	Sema5a	Clic5
E2f8	1700007K13Rik	Gprc5a	Mmp19	Adgrg6	Rad51	Neb	Cbr3	Errfi1	Fank1	Fam167a	Slfn9	Pkd2	Neb	Lrp1
Crocc2	1700024G13Rik	Clic5	Fgg	Errfi1	Knl1	Clca1	Krt18	Arfgef3	Dync2i1	Ift88	Tmprss11d	Col5a1	Clca1	Tmem45b
Cryaa	Hoatz	Ifit2	Gm8113	Ifi202b	Tpx2	Pkd2	Onecut2	Gstt2	Tctn2	Fas	Spc25	Plpp3	Ifi44	Timp1
Dync2h1	Dydc2	Myl1	Epha7	Sprr2f	Chil1	Col5a1	Rorb	Soat1	Stc1	Drc3	Anln	Fgfr1	Apol9b	Slc39a14
Csf2	Lrrc71	Sparcl1	Fhl1	Cdh6	Mki67	Plpp3	Col1a2	Chil1	Pi15	Snrnp25	Racgap1	Parm1	Pkd2	Krt20
Dync2i1	Gm53012	Mylpf	Tmem178	Clu	Cd302	Dync2h1	Ldhb	Nebl	Mapk15	Tctn2	Plk1	Art4	Serpinb2	Mylpf
Dync2i2	Rgs22	Neb	Lsp1	Ptgs2	Incenp	Dync2i2	Tmem213	Cxcl15	Ift81	Cenpw	Mis18bp1	Lhfp	Fut9	Serping1
Dync2li1	Lrriq1	Stc1	Lpl	Il1a	Dlgap5	Dydc2	Igfbp5	Epha7	Ccdc40	1700029J07Rik	Nusap1	Dtl	Tnip3	Sema5a
Crym	Spag17	Pi15	Dpt	Akr1b8	Veph1	Dxo	Col5a2	Renbp	Sparcl1	Nme5	Hmgb2	Itga2	Col5a1	Dpysl3
Cryab	Cfap52	Dclk1	Nr2f1	Krt23	Tns1	ENSMUSG00000121162	Akr1c18	Adam19	Dclk1	Fam161b	Kif11	Retnla	Krt23	Neb
Dynlrb2	Dnaaf6b	Dync2h1	Enpep	Hmga2	Bst2	Dusp18	Sftpd	Kcnc3	Rsph9	Ift74	Lockd	Pclaf	Plpp3	Clca1
Ecrg4	Sntn	Dspp	C1s1	Hbegf	Arl4c	Dync2i1	Parm1	Lrrk2	Wdr27	Fbxo36	Hells	Scara5	Tmem45a	Pkd2
Dxo	Prr29	Dram1	Chodl	Itgb6	Soat1	Drc3	9130015A21Rik	S100g	Ahsa1	E2f8	Tyms	Pcsk5	Fgfr1	Rflnb
Dynlt2b	Zfp474	Drc1	Avpr1a	Plat	Epha7	ENSMUSG00000121164	St6galnac5	Lamb3	Ccdc17	Spa17	Pmf1	Sulf1	Ifit3b	Muc5b
Dynlt4	Dpy30	Dynlt2b	Tns1	Krt20	Fam111a	Dtx1	Myl7	Mid1ip1	Morn1	Wdr31	Mcm6	Fam20c	Lhfp	Col5a1
Dusp18	2410004P03Rik	Drc3	Mmp13	Ecm1	Nectin3	Dnali1	Cyp4b1	Etv5	Rorb	Fam81a	H2ac23	Aebp1	Itga2	Cxcl5
E2f7	Ankrd66	Dynlrb2	Tnfsf13b	Ccn1	Smc2	Dnase1l2	Igfbp7	Maob	Galk1	6820408C15Rik	ENSMUSG00000120992	H2ac23	Blvrb	Icam1
Csgalnact1	Smpdl3a	Drc7	Gxylt2	Cxcl5	Pclaf	Dpcd	Mgp	Cpeb3	Dnah12	A930003A15Rik	Sparcl1	Lgals1	Retnla	Fgfr1
Ecm1	Fam166c	Dthd1	Igfbp6	Sprr2b	Sftpb	Dpp4	Krt15	Slpi	Dusp18	Ankrd42	Myl1	Igfbp5	Kcne3	Fbln5
Dyrk3	Arhgdig	Dydc2	Cgnl1	Itga2	Ube2c	Ereg	Fbn1	Lcn2	Col1a2	Mycbp	Synpr	Col16a1	Med24	Lhfp
Cybb	Chia1	Dtl	Nrn1	Sparcl1	Etv5	Dpt	Tff2	Icam1	Ak7	Rfx2	Tubb6	Fgf2	Otop3	Ccn1
Creg2	Cdkl4	Dyrk3	Gpr153	Myl1	Lrp2	Dpy30	Scgb1a1	Cd36	Ifitm1	Dnajc15	Stc1	Fn1	Cdh6	Car9
Cspp1	ENSMUSG00000121164	Dtx1	Adamts4	Stc1	Spc25	Dpysl3	Cybrd1	Rnase4	B9d1	Dlx4	Pi15	Eln	Kcnj16	Ankrd37
ENSMUSG00000121164	Elmod1	Dync2li1	Mmp3	Pi15	Kank2	Dram1	Wfdc3	Sftpb	Gm5617	Wdr27	Dclk1	Grem1	Bst2	Ccl20
Epha7	Tmem216	Dusp18	Il6	Dclk1	Dennd3	Drc1	Serpinb11	Sftpd	Cep83	Dnah6	Ifi27l2a	Ereg	Scara5	Fcgbp
